ID,国家名称,所属洲,现存确诊,可疑人数,累计确诊,死亡人数,治愈人数,确认计数等级,病死率排序,死亡率,历史记录
4804175,韩国,亚洲,1662,0,14423,301,12460,76,98,2.08,https://file1.dxycdn.com/2020/0315/779/3402160514955536234-135.json
4804440,马尔代夫,亚洲,1632,0,4293,18,2643,106,174,0.41,https://file1.dxycdn.com/2020/0315/023/3402160529987922354-135.json
4804710,索马里,非洲,1628,0,3220,93,1499,112,72,2.88,https://file1.dxycdn.com/2020/0318/580/3402666777783217068-135.json
4804709,贝宁,非洲,1570,0,1914,38,306,130,102,1.98,https://file1.dxycdn.com/2020/0318/520/3402666775635300664-135.json
4804674,苏里南,南美洲,1296,0,1849,27,526,131,131,1.46,https://file1.dxycdn.com/2020/0317/931/3402535553647091547-135.json
4804777,莫桑比克,非洲,1249,0,2029,15,765,127,158,0.73,https://file1.dxycdn.com/2020/0323/163/3403608739272894850-135.json
4804567,刚果（金）,非洲,1236,0,9178,215,7727,85,88,2.34,https://file1.dxycdn.com/2020/0315/118/3402160512808052491-135.json
4804823,南苏丹,非洲,1200,0,2437,47,1190,120,105,1.92,https://file1.dxycdn.com/2020/0406/921/3406206348378627964-135.json
4804848,塔吉克斯坦,亚洲,1166,0,7583,61,6356,89,157,0.80,https://file1.dxycdn.com/2020/0501/373/3410844925943033518-135.json
4804793,几内亚比绍,非洲,1151,0,1981,27,803,128,135,1.36,https://file1.dxycdn.com/2020/0326/097/3404165384214532726-135.json
4804439,巴拉圭,南美洲,1148,0,5852,59,4645,96,150,1.00,https://file1.dxycdn.com/2020/0315/004/3402160529987922312-135.json
4804284,爱尔兰,欧洲,1095,0,26208,1764,23349,61,17,6.73,https://file1.dxycdn.com/2020/0315/153/3402160510660568721-135.json
4804679,卢旺达,非洲,1051,0,2092,5,1036,125,181,0.23,https://file1.dxycdn.com/2020/0317/028/3402535588007034113-135.json
4804240,立陶宛,欧洲,991,0,2120,80,1049,124,51,3.77,https://file1.dxycdn.com/2020/0315/774/3402160536430196722-135.json
4804770,安哥拉,非洲,956,0,1280,58,266,137,38,4.53,https://file1.dxycdn.com/2020/0322/522/3403423200980799144-135.json
4804236,挪威,欧洲,939,0,9333,256,8138,84,76,2.74,https://file1.dxycdn.com/2020/0315/616/3402160534282889764-135.json
4804792,马里,非洲,917,0,2543,124,1502,119,33,4.87,https://file1.dxycdn.com/2020/0326/954/3404165384214532716-135.json
4804680,几内亚,非洲,914,0,7418,46,6458,92,162,0.62,https://file1.dxycdn.com/2020/0315/931/3402176481496577677-135.json
4804845,也门共和国,亚洲,888,0,1738,500,350,133,1,28.76,https://file1.dxycdn.com/2020/0411/999/3407134067757035603-135.json
4804568,牙买加,北美洲,882,0,894,12,0,149,137,1.34,https://file1.dxycdn.com/2020/0315/250/3402160540725341015-135.json
4804226,克罗地亚,欧洲,876,0,5296,153,4267,98,72,2.88,https://file1.dxycdn.com/2020/0315/154/3402160527840438555-135.json
4804766,乍得,非洲,861,0,936,75,0,148,12,8.01,https://file1.dxycdn.com/2020/0321/223/3403237656245986105-135.json
4804183,斯里兰卡,亚洲,836,0,2828,11,1981,116,176,0.38,https://file1.dxycdn.com/2020/0315/984/3402160532135406053-135.json
4804438,多哥,非洲,835,0,961,19,107,146,103,1.97,https://file1.dxycdn.com/2020/0315/916/3402160508512908168-135.json
4804816,博茨瓦纳,非洲,802,0,804,2,0,153,180,0.24,https://file1.dxycdn.com/2020/0331/161/3405093116477911447-135.json
4804704,利比里亚,非洲,801,0,1214,78,335,140,20,6.42,https://file1.dxycdn.com/2020/0318/852/3402666792815603107-135.json
4804818,塞拉利昂,非洲,782,0,1848,67,999,132,55,3.62,https://file1.dxycdn.com/2020/0401/884/3405278646179898786-135.json
4804363,拉脱维亚,欧洲,750,0,1246,32,464,138,81,2.56,https://file1.dxycdn.com/2020/0315/786/3402160540725164137-135.json
4804783,叙利亚,亚洲,750,0,847,56,41,151,19,6.61,https://file1.dxycdn.com/2020/0324/270/3403794290450024898-135.json
4804234,爱沙尼亚,欧洲,736,0,2080,69,1275,126,63,3.31,https://file1.dxycdn.com/2020/0315/704/3402160514955359338-135.json
4804441,斯洛伐克,欧洲,681,0,2354,29,1644,122,142,1.23,https://file1.dxycdn.com/2020/0315/353/3402160510660391916-135.json
4804416,斯洛文尼亚,欧洲,680,0,2181,117,1384,123,28,5.36,https://file1.dxycdn.com/2020/0315/527/3402160510660391945-135.json
4804287,圣马力诺,欧洲,672,0,716,42,2,155,24,5.86,https://file1.dxycdn.com/2020/0315/846/3402160508513085010-135.json
4804703,留尼旺,非洲,663,0,667,4,0,157,165,0.59,https://file1.dxycdn.com/2020/0315/016/3402160527840261639-135.json
4804826,圣多美和普林西比,非洲,640,0,874,15,219,150,119,1.71,https://file1.dxycdn.com/2020/0407/502/3406391893113208137-135.json
4804687,巴哈马,北美洲,634,0,648,14,0,159,95,2.16,https://file1.dxycdn.com/2020/0318/647/3402666807847556532-135.json
4804849,莱索托,非洲,630,0,718,19,69,154,79,2.64,https://file1.dxycdn.com/2020/0514/243/3413256977429064832-135.json
4804448,塞浦路斯,亚洲,625,0,1155,26,504,143,91,2.25,https://file1.dxycdn.com/2020/0315/686/3402160529987745486-135.json
4804415,匈牙利,欧洲,583,0,4544,597,3364,104,6,13.13,https://file1.dxycdn.com/2020/0315/954/3402160538577857255-135.json
4804172,马来西亚,亚洲,558,0,9001,125,8318,86,134,1.38,https://file1.dxycdn.com/2020/0315/777/3402160506365601260-135.json
4804186,芬兰,欧洲,537,0,7466,329,6600,91,42,4.40,https://file1.dxycdn.com/2020/0315/473/3402160538577857276-135.json
4804362,突尼斯,非洲,512,0,1565,51,1002,134,65,3.25,https://file1.dxycdn.com/2020/0315/984/3402160538577857284-135.json
4804706,冈比亚,非洲,487,0,498,9,2,161,112,1.80,https://file1.dxycdn.com/2020/0320/124/3403052102921616068-135.json
4804442,马耳他,欧洲,469,0,845,9,367,152,147,1.06,https://file1.dxycdn.com/2020/0315/267/3402160529987922302-135.json
4804708,美属维尔京群岛,北美洲,431,0,439,8,0,163,109,1.82,https://file1.dxycdn.com/2020/0318/613/3402666814290007784-135.json
4804572,圭亚那,南美洲,426,0,474,21,27,162,41,4.43,https://file1.dxycdn.com/2020/0315/264/3402160506365424412-135.json
4804293,安道尔,欧洲,399,0,937,66,472,147,16,7.04,https://file1.dxycdn.com/2020/0315/231/3402160534282712957-135.json
4804819,布隆迪共和国,非洲,390,0,395,1,4,164,179,0.25,https://file1.dxycdn.com/2020/0401/018/3405278646179898791-135.json
4804177,越南,亚洲,379,0,652,6,267,158,153,0.92,https://file1.dxycdn.com/2020/0315/607/3402160529987745446-135.json
4804847,科摩罗,非洲,379,0,386,7,0,165,111,1.81,https://file1.dxycdn.com/2020/0501/394/3410844925943328054-135.json
4804707,关岛,大洋洲,362,0,367,5,0,166,135,1.36,https://file1.dxycdn.com/2020/0318/489/3402666812142956769-135.json
4804739,尼日尔,非洲,344,0,1147,69,734,145,23,6.01,https://file1.dxycdn.com/2020/0320/550/3403052105068803906-135.json
4804697,坦桑尼亚,非洲,321,0,509,21,167,160,47,4.12,https://file1.dxycdn.com/2020/0318/094/3402666782077751781-135.json
4804763,马恩岛,欧洲,312,0,336,24,0,169,14,7.14,https://file1.dxycdn.com/2020/0321/575/3403237654098502377-135.json
4804676,泽西岛,欧洲,304,0,335,31,0,170,11,9.25,https://file1.dxycdn.com/2020/0317/433/3402535555794575318-135.json
4804673,乌拉圭,南美洲,299,0,1286,36,951,136,74,2.79,https://file1.dxycdn.com/2020/0317/992/3402535566531994277-135.json
4804772,乌干达,非洲,282,0,1195,5,908,141,174,0.41,https://file1.dxycdn.com/2020/0322/955/3403423200980799158-135.json
